time,high,low,open,volumefrom,volumeto,close
2017-05-21,2877.78,2760.36,2798.65,896.89,2503146.43,2794.65
2017-05-22,3092.65,2783.51,2794.65,1259.22,3685753.16,2919.12
2017-05-23,3114.72,2865.87,2919.12,935.68,2811026.53,3108.13
2017-05-24,3312.38,3096.28,3108.13,920.5,2942657.72,3267.05
2017-05-25,3717.66,3104.12,3267.05,1717.59,5939729.46,3111.39
2017-05-26,3634.92,2843.57,3111.39,1778.1,5678988.83,3080.59
2017-05-27,3198.28,2614.93,3080.59,1638.72,4714591.84,2820.79
2017-05-28,3229.15,2820.86,2820.9,941.04,2838554.8,2990.86
2017-05-29,3203.76,2978.51,2990.86,652.19,2021337.89,3117.2
2017-05-30,3748.58,2427.13,3063.38,21356.15,68890806.45,3225.81
2017-05-31,3332.87,3112.4,3165.43,511.67,1651202.04,3279.9
2017-06-01,3553.46,3256.67,3279.9,792.33,2673259.95,3411.35
2017-06-02,3572.4,3354.06,3411.35,723.73,2508032.76,3477.32
2017-06-03,3609.76,3433.4,3477.32,892.98,3141765.13,3523.35
2017-06-04,3597.85,3485.42,3523.35,290.79,1023625.09,3524.85
2017-06-05,3731.98,3488.41,3524.85,1059.58,3790212.58,3715.7
2017-06-06,3993.77,3700.54,3715.7,1240.14,4783499.95,3944.52
2017-06-07,3984.75,3715.89,3944.52,755.19,2911797.46,3786.69
2017-06-08,3929.55,3704.96,3786.69,622.37,2354989.81,3929.53
2017-06-09,3934.3,3826.03,3929.53,460.0,1779339.16,3858.63
2017-06-10,4261.77,3281.7,3867.8,13354.0,54840885.57,4106.7
2017-06-11,4082.26,3945.36,3978.0,571.88,2280633.15,4080.14
2017-06-12,4088.41,3489.23,4080.14,1235.78,4666869.55,3807.34
2017-06-13,3914.85,3677.73,3807.34,721.38,2721176.76,3785.08
2017-06-14,3980.33,3433.04,3785.08,1843.54,6687369.3,3498.0
2017-06-15,3566.22,2987.76,3498.0,2242.13,7389696.34,3473.63
2017-06-16,3607.45,3313.73,3473.63,799.12,2756398.51,3481.9
2017-06-17,3727.25,3381.12,3481.9,910.09,3255849.27,3629.81
2017-06-18,3680.91,3480.67,3629.81,531.26,1904559.17,3566.59
